 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.63814068e+00 -5.92551635e-07 
 1.00000000e-11  2.63814068e+00 -5.92551657e-07 
 2.00000000e-11  2.63814068e+00 -5.92551645e-07 
 4.00000000e-11  2.63814068e+00 -5.92551636e-07 
 8.00000000e-11  2.63814068e+00 -5.92551663e-07 
 1.60000000e-10  2.63814068e+00 -5.92551587e-07 
 3.20000000e-10  2.63814068e+00 -5.92551644e-07 
 6.40000000e-10  2.63814068e+00 -5.92551635e-07 
 1.28000000e-09  2.63814068e+00 -5.92551658e-07 
 2.28000000e-09  2.63814068e+00 -5.92551642e-07 
 3.28000000e-09  2.63814068e+00 -5.92551667e-07 
 4.28000000e-09  2.63814068e+00 -5.92551608e-07 
 5.28000000e-09  2.63814068e+00 -5.92551637e-07 
 6.28000000e-09  2.63814068e+00 -5.92551609e-07 
 7.28000000e-09  2.63814068e+00 -5.92551604e-07 
 8.28000000e-09  2.63814068e+00 -5.92551637e-07 
 9.28000000e-09  2.63814068e+00 -5.92551660e-07 
 1.02800000e-08  2.63814068e+00 -5.92551668e-07 
 1.12800000e-08  2.63814068e+00 -5.92551658e-07 
 1.22800000e-08  2.63814068e+00 -5.92551670e-07 
 1.32800000e-08  2.63814068e+00 -5.92551661e-07 
 1.42800000e-08  2.63814068e+00 -5.92551608e-07 
 1.52800000e-08  2.63814068e+00 -5.92551665e-07 
 1.62800000e-08  2.63814068e+00 -5.92551669e-07 
 1.72800000e-08  2.63814068e+00 -5.92551663e-07 
 1.82800000e-08  2.63814068e+00 -5.92551663e-07 
 1.92800000e-08  2.63814068e+00 -5.92551634e-07 
 2.02800000e-08  2.63814068e+00 -5.92551607e-07 
 2.12800000e-08  2.63814068e+00 -5.92551633e-07 
 2.22800000e-08  2.63814068e+00 -5.92551636e-07 
 2.32800000e-08  2.63814068e+00 -5.92551658e-07 
 2.42800000e-08  2.63814068e+00 -5.92551631e-07 
 2.52800000e-08  2.63814068e+00 -5.92551640e-07 
 2.62800000e-08  2.63814068e+00 -5.92551665e-07 
 2.72800000e-08  2.63814068e+00 -5.92551666e-07 
 2.82800000e-08  2.63814068e+00 -5.92551668e-07 
 2.92800000e-08  2.63814068e+00 -5.92551634e-07 
 3.02800000e-08  2.63814068e+00 -5.92551662e-07 
 3.12800000e-08  2.63814068e+00 -5.92551666e-07 
 3.22800000e-08  2.63814068e+00 -5.92551636e-07 
 3.32800000e-08  2.63814068e+00 -5.92551630e-07 
 3.42800000e-08  2.63814068e+00 -5.92551669e-07 
 3.52800000e-08  2.63814068e+00 -5.92551665e-07 
 3.62800000e-08  2.63814068e+00 -5.92551665e-07 
 3.72800000e-08  2.63814068e+00 -5.92551664e-07 
 3.82800000e-08  2.63814068e+00 -5.92551668e-07 
 3.92800000e-08  2.63814068e+00 -5.92551662e-07 
 4.02800000e-08  2.63814068e+00 -5.92551660e-07 
 4.12800000e-08  2.63814068e+00 -5.92551633e-07 
 4.22800000e-08  2.63814068e+00 -5.92551661e-07 
 4.32800000e-08  2.63814068e+00 -5.92551668e-07 
 4.42800000e-08  2.63814068e+00 -5.92551606e-07 
 4.52800000e-08  2.63814068e+00 -5.92551665e-07 
 4.62800000e-08  2.63814068e+00 -5.92551632e-07 
 4.72800000e-08  2.63814068e+00 -5.92551606e-07 
 4.82800000e-08  2.63814068e+00 -5.92551662e-07 
 4.92800000e-08  2.63814068e+00 -5.92551666e-07 
 5.02800000e-08  2.63814068e+00 -5.92551659e-07 
 5.12800000e-08  2.63814068e+00 -5.92551669e-07 
 5.22800000e-08  2.63814068e+00 -5.92551637e-07 
 5.32800000e-08  2.63814068e+00 -5.92551634e-07 
 5.42800000e-08  2.63814068e+00 -5.92551603e-07 
 5.52800000e-08  2.63814068e+00 -5.92551660e-07 
 5.62800000e-08  2.63814068e+00 -5.92551605e-07 
 5.72800000e-08  2.63814068e+00 -5.92551663e-07 
 5.82800000e-08  2.63814068e+00 -5.92551664e-07 
 5.92800000e-08  2.63814068e+00 -5.92551607e-07 
 6.02800000e-08  2.63814068e+00 -5.92551635e-07 
 6.12800000e-08  2.63814068e+00 -5.92551604e-07 
 6.22800000e-08  2.63814068e+00 -5.92551669e-07 
 6.32800000e-08  2.63814068e+00 -5.92551630e-07 
 6.42800000e-08  2.63814068e+00 -5.92551606e-07 
 6.52800000e-08  2.63814068e+00 -5.92551637e-07 
 6.62800000e-08  2.63814068e+00 -5.92551639e-07 
 6.72800000e-08  2.63814068e+00 -5.92551596e-07 
 6.82800000e-08  2.63814068e+00 -5.92551584e-07 
 6.92800000e-08  2.63814068e+00 -5.92551664e-07 
 7.02800000e-08  2.63814068e+00 -5.92551639e-07 
 7.12800000e-08  2.63814068e+00 -5.92551577e-07 
 7.22800000e-08  2.63814068e+00 -5.92551603e-07 
 7.32800000e-08  2.63814068e+00 -5.92551612e-07 
 7.42800000e-08  2.63814068e+00 -5.92551607e-07 
 7.52800000e-08  2.63814068e+00 -5.92551637e-07 
 7.62800000e-08  2.63814068e+00 -5.92551665e-07 
 7.72800000e-08  2.63814068e+00 -5.92551664e-07 
 7.82800000e-08  2.63814068e+00 -5.92551666e-07 
 7.92800000e-08  2.63814068e+00 -5.92551636e-07 
 8.02800000e-08  2.63814068e+00 -5.92551637e-07 
 8.12800000e-08  2.63814068e+00 -5.92551660e-07 
 8.22800000e-08  2.63814068e+00 -5.92551661e-07 
 8.32800000e-08  2.63814068e+00 -5.92551604e-07 
 8.42800000e-08  2.63814068e+00 -5.92551637e-07 
 8.52800000e-08  2.63814068e+00 -5.92551665e-07 
 8.62800000e-08  2.63814068e+00 -5.92551598e-07 
 8.72800000e-08  2.63814068e+00 -5.92551610e-07 
 8.82800000e-08  2.63814068e+00 -5.92551666e-07 
 8.92800000e-08  2.63814068e+00 -5.92551662e-07 
 9.02800000e-08  2.63814068e+00 -5.92551667e-07 
 9.12800000e-08  2.63814068e+00 -5.92551634e-07 
 9.22800000e-08  2.63814068e+00 -5.92551636e-07 
 9.32800000e-08  2.63814068e+00 -5.92551664e-07 
 9.42800000e-08  2.63814068e+00 -5.92551635e-07 
 9.52800000e-08  2.63814068e+00 -5.92551636e-07 
 9.62800000e-08  2.63814068e+00 -5.92551608e-07 
 9.72800000e-08  2.63814068e+00 -5.92551600e-07 
 9.82800000e-08  2.63814068e+00 -5.92551615e-07 
 9.92800000e-08  2.63814068e+00 -5.92551662e-07 
 1.00280000e-07  2.63814068e+00 -5.92551669e-07 
 1.01280000e-07  2.63814068e+00 -5.92551658e-07 
 1.02280000e-07  2.63814068e+00 -5.92551670e-07 
 1.03280000e-07  2.63814068e+00 -5.92551661e-07 
 1.04280000e-07  2.63814068e+00 -5.92551636e-07 
 1.05280000e-07  2.63814068e+00 -5.92551669e-07 
 1.06280000e-07  2.63814068e+00 -5.92551667e-07 
 1.07280000e-07  2.63814068e+00 -5.92551630e-07 
 1.08280000e-07  2.63814068e+00 -5.92551668e-07 
 1.09280000e-07  2.63814068e+00 -5.92551665e-07 
 1.10280000e-07  2.63814068e+00 -5.92551632e-07 
 1.11280000e-07  2.63814068e+00 -5.92551663e-07 
 1.12280000e-07  2.63814068e+00 -5.92551606e-07 
 1.13280000e-07  2.63814068e+00 -5.92551603e-07 
 1.14280000e-07  2.63814068e+00 -5.92551662e-07 
 1.15280000e-07  2.63814068e+00 -5.92551626e-07 
 1.16280000e-07  2.63814068e+00 -5.92551641e-07 
 1.17280000e-07  2.63814068e+00 -5.92551668e-07 
 1.18280000e-07  2.63814068e+00 -5.92551607e-07 
 1.19280000e-07  2.63814068e+00 -5.92551665e-07 
 1.20280000e-07  2.63814068e+00 -5.92551662e-07 
 1.21280000e-07  2.63814068e+00 -5.92551668e-07 
 1.22280000e-07  2.63814068e+00 -5.92551662e-07 
 1.23280000e-07  2.63814068e+00 -5.92551606e-07 
 1.24280000e-07  2.63814068e+00 -5.92551668e-07 
 1.25280000e-07  2.63814068e+00 -5.92551629e-07 
 1.26280000e-07  2.63814068e+00 -5.92551633e-07 
 1.27280000e-07  2.63814068e+00 -5.92551663e-07 
 1.28280000e-07  2.63814068e+00 -5.92551605e-07 
 1.29280000e-07  2.63814068e+00 -5.92551665e-07 
 1.30280000e-07  2.63814068e+00 -5.92551664e-07 
 1.31280000e-07  2.63814068e+00 -5.92551603e-07 
 1.32280000e-07  2.63814068e+00 -5.92551671e-07 
 1.33280000e-07  2.63814068e+00 -5.92551630e-07 
 1.34280000e-07  2.63814068e+00 -5.92551603e-07 
 1.35280000e-07  2.63814068e+00 -5.92551663e-07 
 1.36280000e-07  2.63814068e+00 -5.92551665e-07 
 1.37280000e-07  2.63814068e+00 -5.92551668e-07 
 1.38280000e-07  2.63814068e+00 -5.92551606e-07 
 1.39280000e-07  2.63814068e+00 -5.92551634e-07 
 1.40280000e-07  2.63814068e+00 -5.92551663e-07 
 1.41280000e-07  2.63814068e+00 -5.92551609e-07 
 1.42280000e-07  2.63814068e+00 -5.92551667e-07 
 1.43280000e-07  2.63814068e+00 -5.92551657e-07 
 1.44280000e-07  2.63814068e+00 -5.92551639e-07 
 1.45280000e-07  2.63814068e+00 -5.92551667e-07 
 1.46280000e-07  2.63814068e+00 -5.92551667e-07 
 1.47280000e-07  2.63814068e+00 -5.92551636e-07 
 1.48280000e-07  2.63814068e+00 -5.92551605e-07 
 1.49280000e-07  2.63814068e+00 -5.92551659e-07 
 1.50280000e-07  2.63814068e+00 -5.92551635e-07 
 1.51280000e-07  2.63814068e+00 -5.92551664e-07 
 1.52280000e-07  2.63814068e+00 -5.92551608e-07 
 1.53280000e-07  2.63814068e+00 -5.92551655e-07 
 1.54280000e-07  2.63814068e+00 -5.92551611e-07 
 1.55280000e-07  2.63814068e+00 -5.92551640e-07 
 1.56280000e-07  2.63814068e+00 -5.92551666e-07 
 1.57280000e-07  2.63814068e+00 -5.92551638e-07 
 1.58280000e-07  2.63814068e+00 -5.92551605e-07 
 1.59280000e-07  2.63814068e+00 -5.92551660e-07 
